Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
"item.NambingCreamB.desc",800000000043,"痛み上昇を20%減少する","痛み上昇を20%減少する","Reduces pain gain by 20%","痛みゲージ上昇を20%軽減"
"item.NambingCreamA",800000000044,"麻醉膏A","麻醉膏A","Numbing Cream A","麻酔クリームA"
"item.NambingCreamA.desc",800000000045,"痛み上昇を30%減少する","痛み上昇を30%減少する","Reduces pain gain by 30%","痛みゲージ上昇を30%軽減"
"item.StressBall",800000000046,"压力球","壓力球","Stress Ball","ストレスボール"
"item.StressBall.desc",800000000047,"可以耐受2次100%痛み","可以耐受2次100%痛み","Endure 2x 100% pain","100%痛みでも2回まで耐えられる"
"item.SensitiveGel",800000000048,"敏感凝胶","敏感凝膠","Sensitive Gel","センシティブジェル"
"item.SensitiveGel.desc",800000000049,"有一定概率不判定痛み","有一定概率不判定痛み","May negate pain check","痛み判定がなくなることがある"
"item.ServiceTicket",800000000050,"服务券","服務券","Service Ticket","サービスチケット"
"item.ServiceTicket.desc",800000000051,"レビュー+5のボーナス付き","レビュー+5のボーナス付き","Review +5 bonus","レビュー+5のお得なチケット"
"item.VIPServiceTicket",800000000052,"VIP服务券","VIP服務券","VIP Service Ticket","VIPサービスチケット"
"item.VIPServiceTicket.desc",800000000053,"レビュー+10のボーナス付き","レビュー+10のボーナス付き","Review +10 bonus","レビュー+10の高級チケット"
"item.LaughingGas",800000000054,"笑气","笑氣","Laughing Gas","笑気ガス"
"item.LaughingGas.desc",800000000055,"痛みアニメが再生されなくなる","痛みアニメが再生されなくなる","Disables pain animation","痛みアニメーションが再生されない"
"item.RelaxAroma",800000000056,"放松香薰","放鬆香薰","Relax Aroma","リラックスアロマ"
"item.RelaxAroma.desc",800000000057,"使客户身心放松","使客戶身心放鬆","Relaxes the customer","心地よい香りでお客様をリラックス"
"item.PlatinumServiceTicket",800000000058,"白金服务券","白金服務券","Platinum Service Ticket","プラチナサービスチケット"
"item.PlatinumServiceTicket.desc",800000000059,"レビュー+20のボーナス付き","レビュー+20のボーナス付き","Review +20 bonus","レビュー+20の最高級チケット"
"item.CoolingGelC",800000000060,"冷却凝胶C","冷卻凝膠C","Cooling Gel C","冷却ジェルC"
"item.CoolingGelC.desc",800000000061,"施術中の痛みを20減少","施術中的痛みを20減少","Reduces pain by 20 during treatment","施術中の痛みゲージを20減少"
"item.CoolingGelB",800000000062,"冷却凝胶B","冷卻凝膠B","Cooling Gel B","冷却ジェルB"
"item.CoolingGelB.desc",800000000063,"施術中の痛みを30減少","施術中的痛みを30減少","Reduces pain by 30 during treatment","施術中の痛みゲージを30減少"
"item.CoolingGelA",800000000064,"冷却凝胶A","冷卻凝膠A","Cooling Gel A","冷却ジェルA"
"item.CoolingGelA.desc",800000000065,"施術中の痛みを50減少","施術中的痛みを50減少","Reduces pain by 50 during treatment","施術中の痛みゲージを50減少"
"item.IcePack",800000000066,"冰袋","冰袋","Ice Pack","アイスパック"
"item.IcePack.desc",800000000067,"100%痛み時専用、0に戻す","100%痛み時專用、0に戻す","Resets pain to 0 when at 100%","100%痛み時のみ使用可能。0に戻す"
"item.AfterCareSet",800000000070,"护理套装","護理套裝","After Care Set","アフターケアセット"
"item.AfterCareSet.desc",800000000071,"基本的なアップセル商品","基本的なアップセル商品","Basic upsell product","基本的なアップセル商品"
"item.MoistureLotion",800000000072,"保湿乳液","保濕乳液","Moisture Lotion","保湿ローション"
"item.MoistureLotion.desc",800000000073,"保湿效果的アップセル商品","保濕效果的アップセル商品","Moisturizing upsell product","保湿効果のアップセル商品"
"item.MoistureCream",800000000074,"保湿霜","保濕霜","Moisture Cream","モイスチャークリーム"
"item.MoistureCream.desc",800000000075,"高保湿的アップセル商品","高保濕的アップセル商品","High-moisture upsell product","高保湿のアップセル商品"
"item.StampCard",800000000076,"积分卡","積分卡","Stamp Card","スタンプカード"
"item.StampCard.desc",800000000077,"基本集客度が0.1アップ","基本集客度が0.1アップ","Base attraction +0.1","基本集客度が0.1アップする"
"item.Candy",800000000078,"糖果","糖果","Candy","キャンディ"
"item.Candy.desc",800000000079,"レビュー+2の簡単なおもてなし","レビュー+2の簡單なおもてなし","Review +2 simple treat","レビュー+2の簡単なおもてなし"
"item.Coupon",800000000080,"优惠券","優惠券","Coupon","クーポン"
"item.Coupon.desc",800000000081,"翌日の基本集客度が1アップ","翌日的基本集客度が1アップ","Next day base attraction +1","翌日の基本集客度が1アップ"
"item.Serum",800000000082,"精华液","精華液","Serum","セラム"
"item.Serum.desc",800000000083,"高級なアップセル商品","高級なアップセル商品","Premium upsell product","高級なアップセル商品"
"item.MoistureMask",800000000084,"保湿面膜","保濕面膜","Moisture Mask","モイスチャーマスク"
"item.MoistureMask.desc",800000000085,"人気のアップセル商品","人氣的アップセル商品","Popular upsell product","人気のアップセル商品"
"item.BronzeGift",800000000086,"铜礼品","銅禮品","Bronze Gift","ブロンズギフト"
"item.BronzeGift.desc",800000000087,"レビュー+10のギフトセット","レビュー+10的ギフトセット","Review +10 gift set","レビュー+10のギフトセット"
"item.Towel",800000000088,"毛巾","毛巾","Towel","タオル"
"item.Towel.desc",800000000089,"レビュー+3の実用的な商品","レビュー+3的實用的商品","Review +3 practical item","レビュー+3の実用的な商品"
"item.PremiumLotion",800000000090,"高级乳液","高級乳液","Premium Lotion","プレミアムローション"
"item.PremiumLotion.desc",800000000091,"高級なアップセル商品","高級なアップセル商品","Premium upsell product","プレミアムなアップセル商品"
"item.PremiumCream",800000000092,"高级霜","高級霜","Premium Cream","プレミアムクリーム"
"item.PremiumCream.desc",800000000093,"最高級のアップセル商品","最高級的アップセル商品","Top-tier upsell product","最高級のアップセル商品"
"item.VIPStamp",800000000094,"VIP积分卡","VIP積分卡","VIP Stamp","VIPスタンプ"
"item.VIPStamp.desc",800000000095,"基本集客度が0.3アップ","基本集客度が0.3アップ","Base attraction +0.3","基本集客度が0.3アップする"
"item.SilverGift",800000000096,"银礼品","銀禮品","Silver Gift","シルバーギフト"
"item.SilverGift.desc",800000000097,"レビュー+20のギフトセット","レビュー+20的ギフトセット","Review +20 gift set","レビュー+20のギフトセット"
"item.PlatinumSet",800000000098,"白金套装","白金套裝","Platinum Set","プラチナセット"
"item.PlatinumSet.desc",800000000099,"最高級のアップセル商品","最高級的アップセル商品","Top-tier upsell product","最高級のアップセル商品"
"item.PlatinumStamp",800000000100,"白金积分卡","白金積分卡","Platinum Stamp","プラチナスタンプ"
"item.PlatinumStamp.desc",800000000101,"基本集客度が0.5アップ","基本集客度が0.5アップ","Base attraction +0.5","基本集客度が0.5アップする"
"item.LuxurySet",800000000102,"奢华套装","奢華套裝","Luxury Set","ラグジュアリーセット"
"item.LuxurySet.desc",800000000103,"究極のアップセル商品","究極的アップセル商品","Ultimate upsell product","究極のアップセル商品"
"item.GoldGift",800000000104,"金礼品","金禮品","Gold Gift","ゴールドギフト"
"item.GoldGift.desc",800000000105,"レビュー+30のギフトセット","レビュー+30的ギフトセット","Review +30 gift set","レビュー+30のギフトセット"
"item.WaterServer",800000000110,"饮水机","飲水機","Water Server","ウォーターサーバー"
"item.WaterServer.desc",800000000111,"お客様の待ち時間の猶予が30%アップ","お客様的等待時間的猶予が30%アップ","Customer patience +30%","お客様の待ち時間猶予が30%アップ"
"item.RobotCleaner",800000000112,"扫地机器人","掃地機器人","Robot Cleaner","ロボット掃除機"
"item.RobotCleaner.desc",800000000113,"営業終了後にゴミを自動で掃除","營業終了後自動掃除垃圾","Auto-cleans debris after close","営業終了後ゴミを自動で掃除してくれる"
"item.AirCleaner",800000000114,"空气净化器","空氣淨化器","Air Cleaner","空気清浄機"
"item.AirCleaner.desc",800000000115,"基本集客度が10%アップする","基本集客度が10%アップする","Base attraction +10%","基本集客度が10%アップする"
"item.ARKit",800000000116,"AR设备","AR設備","AR Kit","ARキット"
"item.ARKit.desc",800000000117,"ベッドごとの施術情報を表示","床位ごと的施術情報を表示","Shows treatment info per bed","ベッドごとの施術情報を表示できる"
"item.MagazineRack",800000000118,"杂志架","雜誌架","Magazine Rack","雑誌ラック"
"item.MagazineRack.desc",800000000119,"基本集客度が10%アップする","基本集客度が10%アップする","Base attraction +10%","基本集客度が10%アップする"
"item.CoffeeMachine",800000000120,"咖啡机","咖啡機","Coffee Machine","コーヒーマシン"
"item.CoffeeMachine.desc",800000000121,"基本集客度が10%アップする","基本集客度が10%アップする","Base attraction +10%","基本集客度が10%アップする"
"item.AromaDiffuser",800000000122,"香薰机","香薰機","Aroma Diffuser","アロマディフューザー"
"item.AromaDiffuser.desc",800000000123,"お客様の痛み上昇度が10%減少","お客様的痛み上昇度が10%減少","Customer pain gain -10%","お客様の痛み上昇度が10%減少する"
"dailysummary.review.remaining",800000000124,"(还差{0})","(還差{0})","(need {0})","(あと{0})"useful,Useful,�֗�,,
toolshop.delivery_immediate,Immediate,����,,
item.premium_delivery_plan.name,Premium Delivery Plan,�v���~�A���z�B�v����,,
item.executive_delivery_plan.name,Executive Delivery Plan,�G�O�[�N�e�B�u�z�B�v����,,
